romaji,hiragana,hiragana_source,katakana,katakana_source,common_source,deprecated
a,あ,安,ア,阿,,false
i,い,以,イ,伊,,false
u,う,,ウ,,宇,false
e,え,衣,エ,江,,false
o,お,,オ,,於,false
ka,か,,カ,,加,false
ki,き,,キ,,幾,false
ku,く,,ク,,久,false
ke,け,計,ケ,介,,false
ko,こ,,コ,,己,false
sa,さ,左,サ,散,,false
shi,し,,シ,,之,false
su,す,寸,ス,須,,false
se,せ,,セ,,世,false
so,そ,,ソ,,曽,false
ta,た,太,タ,多,,false
chi,ち,知,チ,千,,false
tsu,つ,,ツ,,川,false
te,て,,テ,,天,false
to,と,,ト,,止,false
na,な,,ナ,,奈,false
ni,に,,ニ,,仁,false
nu,ぬ,,ヌ,,奴,false
ne,ね,,ネ,,祢,false
no,の,,ノ,,乃,false
ha,は,波,ハ,八,,false
hi,ひ,,ヒ,,比,false
hu,ふ,,フ,,不,false
he,へ,,ヘ,,部,false
ho,ほ,,ホ,,保,false
ma,ま,,マ,,末,false
mi,み,美,ミ,三,,false
mu,む,武,ム,牟,,false
me,め,,メ,,女,false
mo,も,,モ,,毛,false
ya,や,,ヤ,,也,false
yu,ゆ,,ユ,,由,false
yo,よ,与,ヨ,,與,false
ra,ら,,ラ,,良,false
ri,り,,リ,,利,false
ru,る,留,ル,流,,false
re,れ,,レ,,礼,false
ro,ろ,,ロ,,呂,false
wa,わ,,ワ,,和,false
wi,ゐ,爲,ヰ,井,,true
we,ゑ,,ヱ,,恵,true
wo,を,遠,ヲ,乎,,false
n,ん,无,ン,尓,,false
